#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
391,Masataka Yoshida,BOS,53,193,213,52,36,10,0,5,24,25,15,1,27,3,2,0,2,1,1,0.268,0.33,0.402,0.731,0.287,12.60%,7.10%
392,Zach Cole,HOU,88,308,342,62,37,12,2,11,40,34,27,2,137,5,2,0,8,2,6,0.202,0.275,0.359,0.635,0.318,40.00%,8.00%
393,Jose Tena,WSN,61,212,231,51,37,10,1,4,24,21,15,0,60,1,1,1,6,2,4,0.242,0.293,0.349,0.642,0.316,25.80%,6.30%
394,Jahmai Jones,DET,45,125,142,30,19,7,0,5,18,15,13,0,33,2,1,1,3,1,2,0.243,0.325,0.414,0.738,0.294,23.50%,9.40%
395,Starling Marte,,60,215,237,56,40,9,1,6,29,23,15,0,50,4,1,2,7,2,5,0.259,0.317,0.387,0.703,0.312,21.20%,6.10%
396,Alex Verdugo,,50,187,206,47,33,10,0,4,22,22,16,0,31,1,2,1,1,0,1,0.251,0.312,0.374,0.686,0.279,15.10%,7.80%
397,Oswald Peraza,LAA,71,230,252,50,33,9,1,7,28,23,17,0,67,3,1,0,9,2,7,0.216,0.278,0.35,0.628,0.272,26.70%,6.80%
398,Mark Vientos,NYM,111,413,453,96,60,18,1,18,49,57,31,1,119,4,4,0,1,0,1,0.232,0.29,0.408,0.698,0.28,26.40%,6.90%
399,Sam Haggerty,TEX,58,188,210,45,33,9,1,3,26,15,17,0,46,2,1,1,11,3,8,0.241,0.309,0.343,0.652,0.304,22.10%,8.00%
400,Nick Yorke,PIT,37,127,138,32,23,6,0,2,15,13,9,0,31,1,1,0,3,1,2,0.251,0.302,0.358,0.66,0.314,22.70%,6.30%
401,Pavin Smith,ARI,102,346,394,80,51,16,1,11,45,45,43,1,100,2,3,0,2,1,1,0.232,0.319,0.384,0.703,0.291,25.50%,11.00%
402,Dylan Moore,PHI,35,105,119,22,13,4,0,4,16,12,11,0,36,2,1,0,6,2,4,0.209,0.294,0.376,0.67,0.27,30.00%,8.90%
403,Mickey Gasper,BOS,14,38,42,9,6,2,0,1,4,4,4,0,8,1,0,0,0,0,0,0.229,0.306,0.347,0.654,0.268,18.90%,8.60%
404,Angel Martinez,CLE,70,249,273,57,39,11,1,6,28,26,17,0,58,3,2,2,5,1,4,0.229,0.284,0.355,0.638,0.273,21.10%,6.20%
405,Bryce Teodosio,LAA,55,185,200,38,26,8,1,3,20,13,10,0,64,3,1,1,8,2,6,0.203,0.254,0.297,0.55,0.292,31.80%,5.00%
406,Trey Sweeney,DET,27,87,96,18,12,3,1,2,10,9,7,0,27,1,1,0,2,0,2,0.209,0.275,0.349,0.624,0.27,27.90%,7.70%
407,Alan Roden,MIN,51,165,184,41,30,8,1,2,20,16,14,1,31,4,1,0,3,1,2,0.247,0.317,0.346,0.664,0.29,17.10%,7.60%
