#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
306,Craig Kimbrel,NYM,2,2,3.91,34,0,0,1,,34.0,146,28,16,15,4,16,1,2,39,10.34,4.30,1.31,26.8%,11.1%
307,Alex Carrillo,NYM,1,1,4.03,20,0,0,1,,20.0,86,18,10,9,3,9,1,1,21,9.40,4.19,1.35,24.2%,10.8%
308,Hector Neris,KCR,1,1,4.39,22,0,0,1,,22.0,95,20,11,11,3,10,1,1,22,9.13,3.94,1.37,23.4%,10.1%
309,Bradgley Rodriguez,SDP,2,2,4.20,48,0,0,4,,48.0,210,45,24,22,6,23,1,2,44,8.24,4.29,1.42,20.9%,10.9%
310,Elvis Alvarado,ATH,3,3,4.32,58,0,3,10,,58.0,253,53,30,28,8,29,2,3,58,8.97,4.45,1.41,22.8%,11.3%
311,Zach Pop,PHI,3,3,4.17,52,0,0,7,,52.0,225,53,26,24,6,19,1,2,41,7.05,3.34,1.40,18.1%,8.6%
312,Paul Sewald,ARI,3,3,4.40,58,0,8,10,,58.0,249,55,30,28,9,20,2,3,57,8.91,3.15,1.30,23.1%,8.1%
313,Yerry De los Santos,NYY,2,2,3.98,34,0,0,1,,34.0,147,34,16,15,4,13,1,1,28,7.33,3.48,1.38,18.8%,8.9%
314,Yuki Matsui,SDP,3,3,4.06,52,0,0,7,,52.0,224,47,25,23,7,23,2,2,53,9.25,3.99,1.35,23.9%,10.3%
315,Hunter Stratton,ATL,1,1,4.25,30,0,0,1,,30.0,129,30,15,14,4,10,1,1,27,8.24,3.14,1.33,21.3%,8.1%
316,Duncan Davitt,CHW,1,1,4.16,21,0,0,1,,21.0,89,21,10,10,3,6,1,1,18,7.51,2.60,1.28,19.6%,6.8%
317,Derek Law,ARI,1,1,4.12,24,0,0,1,,24.0,103,24,12,11,3,9,0,1,21,7.85,3.21,1.36,20.3%,8.3%
318,Nick Raquet,STL,2,2,4.07,38,0,0,1,,38.0,164,38,19,17,4,14,1,2,29,6.94,3.23,1.37,17.8%,8.3%
319,Tyler Gilbert,CHW,1,1,4.19,26,0,0,1,,26.0,112,25,13,12,4,9,1,1,23,7.97,3.23,1.34,20.6%,8.4%
320,Carson Seymour,SFG,1,1,3.74,20,0,0,1,,20.0,85,20,9,8,2,7,0,1,18,7.93,2.96,1.31,20.7%,7.7%
321,Landon Knack,LAD,1,1,4.74,14,2,0,1,,20.2,90,21,12,11,4,8,0,1,19,8.21,3.37,1.36,21.1%,8.7%
322,Doug Nikhazy,CLE,2,2,4.37,27,2,0,1,,34.0,148,33,18,17,5,15,1,1,31,8.05,3.85,1.39,20.6%,9.8%
323,Osvaldo Bido,NYY,1,1,4.14,16,0,0,1,,16.0,68,15,8,7,2,5,0,1,16,8.77,2.98,1.25,22.9%,7.8%
324,Yosver Zulueta,SEA,1,1,3.59,24,0,0,1,,24.0,103,21,11,10,2,11,1,1,24,8.87,4.09,1.35,22.9%,10.6%
325,Marco Raya,MIN,1,1,4.14,18,0,0,1,,18.0,78,18,9,8,2,7,0,1,16,8.17,3.72,1.39,20.9%,9.5%
326,Tyler Ferguson,ATH,2,2,4.25,42,0,0,1,,42.0,183,39,21,20,5,20,1,2,41,8.86,4.23,1.40,22.6%,10.8%
327,Pedro Avila,CLE,2,2,4.42,32,2,0,1,,39.0,171,40,21,19,5,15,1,2,33,7.67,3.56,1.41,19.5%,9.0%
328,Franco Aleman,CLE,1,1,4.02,22,0,0,1,,22.0,95,20,11,10,3,10,1,1,22,9.20,3.92,1.35,23.7%,10.1%
329,Daysbel Hernandez,ATL,2,2,4.14,40,0,0,1,,40.0,175,36,20,18,5,21,1,2,44,9.79,4.79,1.42,24.9%,12.2%
