#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
21,Hunter Harvey,CHC,4,2,2.83,52,0,5,13,,52.0,208,41,17,16,4,13,,2,58,10.00,2.26,1.05,27.7%,6.3%
22,Tanner Scott,LAD,5,3,3.50,63,0,4,15,,63.0,261,51,27,25,6,23,,3,70,10.06,3.35,1.18,27.0%,9.0%
23,Matt Brash,SEA,4,3,3.16,63,0,3,12,,63.0,270,51,24,22,4,27,,3,76,10.89,3.79,1.23,28.3%,9.8%
24,Matt Strahm,KCR,5,2,3.24,66,0,1,17,,66.0,266,53,26,24,7,19,,3,71,9.73,2.62,1.10,26.8%,7.2%
25,Dennis Santana,PIT,5,3,3.41,68,0,26,5,,68.0,277,58,28,26,5,21,,3,62,8.25,2.84,1.17,22.5%,7.8%
26,Jeremiah Estrada,SDP,5,3,3.36,70,0,0,15,,70.0,289,52,28,26,8,28,,2,98,12.63,3.63,1.15,33.9%,9.7%
27,Robert Garcia,TEX,7,4,3.55,64,0,20,6,,64.0,267,54,27,25,7,22,,2,70,9.88,3.09,1.18,26.3%,8.2%
28,Camilo Doval,NYY,5,3,3.64,64,0,2,14,,64.0,273,50,28,26,5,31,,4,75,10.50,4.34,1.26,27.4%,11.3%
29,Ryan Walker,SFG,7,4,3.25,63,0,27,5,,63.0,266,54,25,23,5,20,,6,68,9.75,2.83,1.18,25.7%,7.4%
30,Emilio Pagan,CIN,3,3,3.95,66,0,27,4,,66.0,263,53,31,29,9,22,,1,69,9.47,3.00,1.14,26.4%,8.4%
31,Graham Ashcraft,CIN,6,4,3.82,65,0,2,16,,65.0,280,60,30,28,5,23,,3,61,8.45,3.14,1.27,21.8%,8.1%
32,Raisel Iglesias,ATL,6,4,3.52,66,0,26,4,,66.0,265,56,28,26,8,16,,2,70,9.59,2.24,1.10,26.5%,6.2%
33,Fernando Cruz,NYY,5,4,3.47,61,0,1,16,,61.0,265,48,26,24,6,30,,4,83,12.23,4.38,1.28,31.3%,11.2%
34,Jeff Hoffman,TOR,6,5,3.38,63,0,26,4,,63.0,257,48,26,24,8,24,,4,76,10.86,3.38,1.14,29.6%,9.2%
35,Edwin Uceta,TBR,6,4,3.69,68,0,12,11,,68.0,284,54,30,28,9,26,,6,84,11.08,3.44,1.17,29.5%,9.2%
36,Jose A. Ferrer,SEA,4,3,3.44,70,0,3,16,,70.0,293,61,29,27,5,22,,4,67,8.66,2.80,1.19,23.0%,7.4%
37,Alex Vesia,LAD,5,3,3.41,61,0,1,18,,61.0,249,45,25,23,8,25,,3,78,11.57,3.71,1.15,31.5%,10.1%
38,Kevin Ginkel,ARI,5,4,3.42,62,0,12,11,,62.0,262,54,25,24,5,25,,3,64,9.32,3.62,1.27,24.5%,9.5%
39,Robert Suarez,ATL,6,5,3.60,67,0,8,11,,67.0,275,58,29,27,7,21,,2,66,8.84,2.78,1.18,23.9%,7.5%
40,Robert Stephenson,LAA,2,4,4.24,60,0,15,8,,60.0,251,55,30,28,8,18,,2,67,10.00,2.73,1.21,26.6%,7.3%
41,Orion Kerkering,PHI,7,4,3.47,63,0,1,13,,63.0,265,53,26,24,6,22,,5,71,10.11,3.18,1.19,26.7%,8.4%
42,Garrett Cleavinger,TBR,6,3,3.30,66,0,8,13,,66.0,267,50,26,24,8,23,,7,83,11.31,3.14,1.10,31.0%,8.6%
43,Carlos Estevez,KCR,5,5,3.95,65,0,31,2,,65.0,266,56,31,29,7,23,,2,56,7.74,3.16,1.21,21.0%,8.6%
44,Chris Martin,TEX,5,3,3.32,54,0,4,12,,54.0,223,52,21,20,7,11,,1,52,8.62,1.77,1.15,23.2%,4.8%
45,Jared Koenig,MIL,5,3,3.63,65,0,1,15,,65.0,274,58,28,26,6,22,,3,64,8.88,3.00,1.22,23.4%,7.9%
46,Lucas Erceg,KCR,6,6,3.76,62,0,2,13,,62.0,267,55,28,26,5,25,,6,59,8.51,3.60,1.29,21.9%,9.3%
47,Daniel Palencia,CHC,6,3,3.74,67,0,30,4,,67.0,282,53,30,28,7,28,,5,74,9.98,3.74,1.21,26.3%,9.9%
48,JoJo Romero,STL,7,3,3.41,64,0,14,9,,64.0,269,55,26,24,6,25,,2,63,8.84,3.57,1.26,23.4%,9.4%
49,Jimmy Herget,COL,2,2,4.36,77,0,2,15,,77.0,330,76,41,37,10,24,,6,72,8.45,2.86,1.30,21.9%,7.4%
50,Seranthony Dominguez,CHW,4,4,4.00,63,0,20,6,,63.0,267,53,30,28,8,30,,2,72,10.23,4.32,1.31,26.8%,11.3%
51,Tony Santillan,CIN,3,3,4.24,70,0,4,13,,70.0,301,60,35,33,8,32,,5,73,9.32,4.10,1.32,24.1%,10.6%
52,Dylan Lee,ATL,3,3,3.50,65,0,1,16,,65.0,263,56,27,25,9,19,,0,75,10.36,2.63,1.15,28.4%,7.2%
53,Gregory Soto,PIT,3,3,3.81,61,0,4,14,,61.0,268,54,28,26,4,26,,7,66,9.78,3.81,1.31,24.7%,9.6%
54,Cole Sands,MIN,5,4,3.91,68,0,2,13,,68.0,285,61,32,30,7,21,,4,67,8.87,2.74,1.20,23.5%,7.3%
55,Jordan Leasure,CHW,5,6,4.34,64,0,5,11,,64.0,271,54,33,31,9,29,,2,74,10.45,4.02,1.29,27.4%,10.5%
56,Brooks Raley,NYM,3,3,3.78,62,0,1,14,,62.0,255,52,28,26,5,21,,7,61,8.82,3.03,1.18,23.8%,8.2%
57,Louis Varland,TOR,4,3,3.64,67,0,2,13,,67.0,279,61,30,27,8,18,,2,64,8.61,2.48,1.19,23.0%,6.6%
58,Justin Topa,MIN,4,3,4.04,63,0,6,11,,63.0,274,64,31,28,5,19,,5,50,7.16,2.76,1.33,18.3%,7.0%
59,Drew Pomeranz,LAA,2,4,4.13,58,0,3,11,,58.0,244,53,29,27,7,18,,6,59,9.19,2.81,1.23,24.3%,7.4%
60,Andrew Kittredge,BAL,5,4,3.58,67,0,4,13,,67.0,274,64,29,27,9,16,,1,65,8.77,2.15,1.19,23.8%,5.8%
61,Carmen Mlodzinski,PIT,5,5,3.59,53,3,0,4,,69.0,294,65,30,28,6,23,,3,60,7.80,2.98,1.28,20.4%,7.8%
62,Sean Newcomb,CHW,3,3,4.00,62,2,2,10,,70.0,304,67,34,31,7,27,,4,65,8.36,3.51,1.35,21.3%,9.0%
63,Mark Leiter Jr.,ATH,7,5,4.07,64,0,6,13,,64.0,277,58,32,29,8,26,,5,71,9.98,3.70,1.31,25.6%,9.5%
64,Caleb Thielbar,CHC,6,3,3.58,66,0,1,15,,66.0,272,58,28,26,9,20,,0,68,9.34,2.78,1.19,25.1%,7.5%
65,Steven Okert,HOU,3,2,3.72,64,0,0,14,,64.0,261,52,29,26,9,22,,3,75,10.50,3.07,1.15,28.6%,8.4%
66,Bryan Baker,TBR,4,3,3.95,63,0,3,12,,63.0,259,53,30,28,8,22,,1,69,9.87,3.19,1.20,26.6%,8.6%
67,A.J. Minter,NYM,5,3,3.53,52,0,2,14,,52.0,212,44,22,20,6,17,,1,57,9.88,3.00,1.18,26.9%,8.2%
68,Hunter Gaddis,CLE,3,3,3.65,66,0,3,14,,66.0,275,58,29,27,8,21,,4,65,8.86,2.88,1.19,23.6%,7.7%
69,Blake Treinen,LAD,7,5,4.09,58,0,1,14,,58.0,255,54,28,26,7,21,,4,65,10.09,3.27,1.30,25.5%,8.3%
70,Eduard Bazardo,SEA,3,3,3.55,68,0,1,14,,68.0,280,58,29,27,7,23,,3,69,9.14,3.00,1.18,24.6%,8.1%
71,Danny Coulombe,,2,1,3.54,46,0,0,0,,46.0,189,40,19,18,5,17,,1,45,8.85,3.32,1.23,24.0%,9.0%
72,Shawn Armstrong,CLE,3,2,3.70,68,0,3,16,,68.0,282,61,30,28,8,20,,5,68,8.95,2.62,1.18,24.0%,7.0%
73,Justin Sterner,ATH,3,3,3.95,65,0,8,10,,65.0,273,57,31,28,9,24,,4,67,9.26,3.34,1.25,24.5%,8.8%
74,Tyler Kinley,ATL,4,3,3.95,63,0,0,13,,63.0,265,53,30,28,8,27,,2,72,10.26,3.79,1.26,27.1%,10.0%
75,Justin Wilson,,2,2,3.79,43,0,0,0,,43.0,194,43,19,18,5,17,,1,46,9.71,3.55,1.39,24.0%,8.8%
76,Jakob Junis,TEX,3,3,4.06,65,0,1,14,,65.0,271,61,32,29,7,16,,4,55,7.61,2.28,1.20,20.3%,6.1%
77,John Schreiber,KCR,3,3,3.97,64,0,1,14,,64.0,269,58,30,28,7,23,,3,60,8.41,3.17,1.25,22.3%,8.4%
78,Jason Adam,SDP,5,4,3.40,61,0,1,15,,61.0,247,47,25,23,6,23,,6,62,9.13,3.40,1.15,25.0%,9.3%
