#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
157,Jose Berrios,TOR,8,9,4.51,51,19,0,1,,141.0,609,144,77,71,23,43,,8,111,7.06,2.76,1.33,18.2%,7.1%,
158,Patrick Sandoval,BOS,5,5,4.21,40,10,0,1,,80.0,357,80,40,37,7,36,,3,71,8.00,4.00,1.45,19.9%,10.0%,
159,Chase Dollander,COL,5,9,5.08,23,23,0,0,,106.0,471,106,65,60,16,47,,9,94,7.92,4.00,1.44,19.9%,10.0%,
160,David Festa,MIN,3,4,4.22,28,10,0,1,,64.0,272,60,32,30,8,22,,3,65,9.13,3.14,1.29,23.8%,8.2%,
161,Jon Gray,,3,3,4.46,10,10,0,0,,50.0,214,49,27,25,7,15,,2,44,7.86,2.76,1.28,20.6%,7.2%,
162,Kyle Harrison,MIL,4,3,4.34,31,15,0,1,,83.0,362,79,43,40,11,33,,5,81,8.75,3.60,1.35,22.4%,9.2%,
163,Miles Mikolas,WSN,6,10,4.86,26,26,0,0,,134.0,575,149,79,73,23,31,,4,86,5.76,2.08,1.34,15.0%,5.4%,
164,Tomoyuki Sugano,COL,6,9,4.87,21,21,0,0,,117.0,504,133,68,63,22,27,,4,75,5.82,2.10,1.38,15.0%,5.4%,
165,Patrick Corbin,,5,7,5.20,19,19,0,0,,101.0,452,113,63,58,15,36,,2,83,7.36,3.25,1.48,18.3%,8.1%,
166,Andrew Painter,PHI,4,6,4.80,31,18,0,1,,94.0,409,91,54,50,16,38,,1,92,8.86,3.64,1.38,22.6%,9.3%,
167,Jonathan Cannon,CHW,5,9,4.85,46,15,0,1,,111.0,484,116,65,60,16,38,,5,83,6.72,3.12,1.39,17.1%,7.9%,
168,Chris Paddack,MIA,5,8,5.10,41,21,0,1,,132.0,566,142,81,75,24,34,,2,100,6.82,2.30,1.33,17.7%,6.0%,
169,Richard Fitts,STL,5,7,4.32,35,19,0,1,,109.0,461,109,56,52,15,31,,4,84,6.93,2.61,1.29,18.1%,6.8%,
170,Randy Vasquez,SDP,6,7,4.68,37,23,0,1,,126.0,552,128,71,66,17,46,,9,85,6.05,3.24,1.37,15.4%,8.3%,
171,Ryan Feltner,COL,4,6,5.17,34,16,0,1,,96.0,426,100,59,55,13,43,,4,78,7.34,4.04,1.49,18.3%,10.1%,
172,Ryan Weiss,HOU,5,6,4.17,44,10,0,1,,90.0,387,82,45,42,13,33,,7,92,9.20,3.31,1.28,23.8%,8.6%,
173,Rhett Lowder,CIN,4,5,4.71,35,13,0,1,,82.0,352,84,47,43,12,25,,5,62,6.73,2.69,1.32,17.5%,7.0%,
