#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
176,Ryan Feltner,COL,5,4,5.37,34,16,0,1,,102.0,455,114,66,61,15,44,,5,79,6.96,3.85,1.55,17.3%,9.6%,7
177,Brandon Sproat,MIL,4,2,4.01,28,10,0,1,,68.0,289,61,33,30,8,27,,3,60,7.98,3.65,1.32,20.7%,9.5%,6
178,Jonathan Cannon,CHW,5,3,4.88,46,15,0,1,,111.0,482,116,66,60,16,39,,5,80,6.49,3.17,1.40,16.6%,8.1%,7
179,Hunter Dobbins,STL,5,3,4.63,37,15,0,1,,98.0,424,102,55,50,12,35,,4,73,6.70,3.23,1.40,17.2%,8.3%,7
180,Erick Fedde,CHW,5,5,5.08,29,18,0,1,,109.0,476,113,67,62,16,44,,5,77,6.37,3.67,1.45,16.2%,9.4%,8
181,J.T. Ginn,ATH,3,1,4.18,30,6,0,1,,60.0,257,58,30,28,7,22,,3,56,8.45,3.27,1.34,21.8%,8.4%,4
182,Randy Vasquez,SDP,7,6,4.76,37,23,0,1,,129.0,564,132,75,68,19,47,,6,92,6.41,3.26,1.38,16.4%,8.3%,10
183,Jake Irvin,WSN,4,4,5.02,24,16,0,1,,99.0,427,105,60,55,15,34,,4,73,6.64,3.05,1.39,17.1%,7.9%,7
184,Troy Melton,DET,4,2,4.00,42,6,0,1,,73.0,307,67,35,32,9,25,,3,69,8.53,3.10,1.26,22.5%,8.2%,4
185,German Marquez,SDP,7,9,4.94,24,24,0,0,,129.0,564,134,77,71,20,47,,6,95,6.63,3.28,1.40,16.8%,8.3%,10
186,Jose Urquidy,PIT,5,3,4.82,33,15,0,1,,93.0,398,96,54,50,13,33,,4,67,6.51,3.19,1.38,16.9%,8.3%,7
187,Charlie Morton,,4,3,4.35,10,10,0,0,,51.0,223,48,27,24,7,24,,3,50,8.85,4.19,1.41,22.3%,10.6%,5
188,Stephen Kolek,KCR,4,2,4.64,41,8,0,1,,78.0,337,85,44,40,9,24,,3,55,6.34,2.83,1.42,16.2%,7.2%,5
189,Caden Dana,LAA,5,6,4.89,16,16,0,0,,87.0,384,85,52,47,15,38,,4,79,8.18,3.96,1.42,20.6%,10.0%,7
190,Trevor McDonald,SFG,3,1,4.29,24,8,0,1,,63.0,273,65,33,30,7,22,,3,51,7.34,3.13,1.38,18.7%,8.0%,5
191,Cody Bradford,TEX,4,2,4.37,36,8,0,1,,72.0,302,71,38,35,12,16,,3,60,7.52,2.07,1.22,19.8%,5.4%,5
192,Max Scherzer,TOR,4,5,4.56,28,10,0,1,,69.0,290,65,38,35,12,22,,3,65,8.39,2.81,1.25,22.3%,7.5%,5
193,Connelly Early,BOS,3,1,3.92,27,5,0,1,,47.0,202,44,22,21,5,19,,2,48,9.22,3.55,1.33,24.0%,9.2%,3
194,Alex Cobb,,2,2,4.29,6,6,0,0,,37.0,158,36,19,17,4,14,,2,31,7.57,3.42,1.37,19.6%,8.8%,3
195,Luis Medina,ATH,5,2,4.76,45,11,0,1,,94.0,413,93,54,50,12,45,,5,81,7.74,4.36,1.47,19.5%,11.0%,6
196,Luis Gil,NYY,6,2,4.39,51,11,0,1,,101.0,433,87,54,49,15,49,,5,98,8.74,4.40,1.35,22.6%,11.4%,7
197,Jon Gray,,3,4,4.60,10,10,0,0,,54.0,230,53,30,28,8,19,,2,44,7.36,3.13,1.33,19.2%,8.2%,5
198,Josiah Gray,WSN,5,9,5.20,21,21,0,0,,114.0,503,119,72,66,18,48,,6,89,7.03,3.78,1.46,17.7%,9.5%,9
199,Andrew Alvarez,WSN,4,3,5.00,35,13,0,1,,90.0,391,97,54,50,11,34,,4,60,6.03,3.43,1.46,15.4%,8.8%,6
200,River Ryan,LAD,3,1,4.14,14,6,0,1,,41.0,184,39,21,19,5,18,,2,40,8.68,3.91,1.37,21.7%,9.8%,3
201,Alek Manoah,LAA,5,8,5.28,19,19,0,0,,106.0,462,108,68,62,16,49,,5,82,6.90,4.17,1.48,17.6%,10.7%,8
202,Kyle Hurt,LAD,3,1,3.84,25,5,0,1,,43.0,189,38,20,18,6,19,,2,48,10.00,3.94,1.32,25.5%,10.0%,3
203,Jordan Montgomery,TEX,3,1,4.60,18,6,0,1,,52.0,224,53,29,27,7,16,,2,40,6.93,2.85,1.34,17.9%,7.3%,3
204,Colin Rea,CHC,4,2,4.50,44,8,0,1,,83.0,351,82,45,41,12,25,,4,67,7.26,2.75,1.30,19.0%,7.2%,5
205,Gavin Stone,LAD,2,1,4.15,19,5,0,1,,39.0,168,37,20,18,6,13,,2,36,8.23,2.90,1.28,21.3%,7.5%,3
206,Drew Thorpe,CHW,2,3,4.90,8,8,0,0,,42.0,182,43,25,23,6,16,,2,32,6.81,3.35,1.40,17.5%,8.6%,3
207,Marcus Stroman,,4,4,4.85,11,11,0,0,,60.0,263,62,35,32,8,24,,3,41,6.16,3.61,1.44,15.7%,9.2%,5
208,Jonah Tong,NYM,2,1,3.40,13,3,0,1,,27.0,118,22,11,10,3,13,,1,33,10.93,4.37,1.28,28.2%,11.3%,2
