Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%,W%,L%,SV%,HLD%,BS%,H%,R%,ER%,HR%,IBB%,HBP%
Tyler Holton,DET,1,62,72.1,293,4,3,0,6,14,1,62,28,26,7,1,3,63,17,7.89,2.17,3.25,1.1,21.50170648,5.802047782,0.064516129,0.048387097,0.096774194,0.225806452,0.016129032,0.211604096,0.09556314,0.088737201,0.023890785,0.003412969,0.010238908
Bryan Abreu,HOU,0,69,70,291,3,2,0,5,22,4,54,27,25,7,1,4,91,29,11.71,3.74,3.17,1.18,31.27147766,9.965635739,0.043478261,0.028985507,0.072463768,0.31884058,0.057971014,0.18556701,0.092783505,0.085910653,0.024054983,0.003436426,0.013745704
Josh Hader,HOU,0,63,63,255,5,4,0,33,3,4,44,24,23,8,1,3,88,25,12.59,3.57,3.22,1.1,34.50980392,9.803921569,0.079365079,0.063492063,0.523809524,0.047619048,0.063492063,0.17254902,0.094117647,0.090196078,0.031372549,0.003921569,0.011764706
Carlos Estevez,KCR,0,60,62,260,4,4,0,19,6,5,56,29,27,8,2,3,62,21,8.97,3.03,3.87,1.24,23.84615385,8.076923077,0.066666667,0.066666667,0.316666667,0.1,0.083333333,0.215384615,0.111538462,0.103846154,0.030769231,0.007692308,0.011538462
Lucas Erceg,KCR,0,62,64.2,273,4,4,0,16,13,4,56,28,25,5,1,4,73,24,10.23,3.36,3.54,1.24,26.73992674,8.791208791,0.064516129,0.064516129,0.258064516,0.209677419,0.064516129,0.205128205,0.102564103,0.091575092,0.018315018,0.003663004,0.014652015
Ben Joyce,LAA,0,56,59.1,251,3,3,0,23,7,3,47,24,22,5,0,4,71,27,10.79,4.13,3.33,1.26,28.28685259,10.75697211,0.053571429,0.053571429,0.410714286,0.125,0.053571429,0.187250996,0.09561753,0.087649402,0.019920319,0,0.015936255
Blake Treinen,LAD,0,55,54.2,226,5,3,0,5,17,4,48,22,20,6,1,3,60,16,9.93,2.68,3.33,1.17,26.54867257,7.079646018,0.090909091,0.054545455,0.090909091,0.309090909,0.072727273,0.212389381,0.097345133,0.088495575,0.026548673,0.004424779,0.013274336
Evan Phillips,LAD,0,60,58.1,240,4,2,0,5,14,3,50,24,22,6,1,2,65,18,9.99,2.76,3.44,1.16,27.08333333,7.5,0.066666667,0.033333333,0.083333333,0.233333333,0.05,0.208333333,0.1,0.091666667,0.025,0.004166667,0.008333333
Kirby Yates,LAD,0,58,58,241,5,3,0,15,11,3,42,23,21,7,2,3,72,27,11.21,4.22,3.3,1.19,29.87551867,11.2033195,0.086206897,0.051724138,0.25862069,0.189655172,0.051724138,0.174273859,0.095435685,0.087136929,0.029045643,0.008298755,0.012448133
Michael Kopech,LAD,0,51,55,233,4,3,0,5,12,3,44,26,24,8,1,3,68,26,11.14,4.26,3.92,1.27,29.18454936,11.15879828,0.078431373,0.058823529,0.098039216,0.235294118,0.058823529,0.188841202,0.111587983,0.103004292,0.034334764,0.004291845,0.012875536
