#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
230,Kohl Drake,ARI,1,1,4.32,3,3,0,0,,17.0,73,17,9,8,2,6,,1,15,7.92,3.40,1.37,20.2%,8.7%,1
231,Austin Peterson,CLE,1,2,4.43,15,3,0,1,,30.0,127,31,16,15,5,7,,1,22,6.62,2.26,1.30,17.2%,5.9%,1
232,Alan Rangel,PHI,1,2,4.85,13,3,0,1,,28.0,119,28,16,15,5,9,,1,22,7.32,2.93,1.35,18.9%,7.6%,1
233,Antonio Senzatela,COL,4,7,5.47,50,8,0,1,,85.0,386,105,55,52,13,28,,4,51,5.44,3.02,1.57,13.3%,7.4%,2
234,Ronel Blanco,HOU,1,1,4.15,10,2,0,1,,17.0,73,16,9,8,3,7,,0,17,9.03,3.65,1.31,23.7%,9.6%,1
235,Mitch Bratt,ARI,0,0,4.14,2,2,0,0,,9.0,37,9,4,4,1,2,,0,7,7.56,2.35,1.28,19.7%,6.1%,1
236,Trey Gibson,BAL,0,1,4.43,2,2,0,0,,9.0,37,8,5,4,1,3,,1,8,7.98,3.33,1.36,20.4%,8.5%,1
237,Gunnar Hoglund,ATH,2,3,4.87,21,5,0,1,,42.0,182,45,24,23,7,13,,2,31,6.63,2.72,1.36,17.0%,7.0%,2
238,Wade Miley,,1,2,5.06,5,5,0,0,,24.0,106,26,15,14,4,9,,1,15,5.68,3.18,1.44,14.4%,8.1%,2
239,McCade Brown,COL,1,2,5.26,11,3,0,1,,23.0,103,24,15,14,4,10,,2,21,8.31,3.87,1.47,20.7%,9.7%,1
240,Tink Hence,STL,1,1,4.24,10,2,0,1,,16.0,69,15,8,7,2,6,,1,14,8.04,3.63,1.36,20.7%,9.3%,1
