#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
145,Tyler Stephenson,CIN,107,372,420,88,57,16,1,14,47,50,40,1,119,5,3,0,1,0,1,0.236,0.315,0.399,0.714,0.304,28.40%,9.40%
146,Bryan Reynolds,PIT,145,562,630,143,94,25,6,19,77,74,55,2,153,8,5,1,6,2,4,0.255,0.328,0.419,0.747,0.315,24.20%,8.70%
147,Christian Yelich,MIL,133,494,565,126,84,20,2,19,72,70,63,5,139,4,3,1,15,4,11,0.255,0.342,0.422,0.764,0.315,24.50%,11.10%
148,Gavin Lux,TBR,110,394,443,100,70,19,3,8,49,43,44,0,97,2,3,0,4,1,3,0.254,0.329,0.375,0.704,0.316,21.80%,9.80%
149,Kyle Higashioka,TEX,72,240,262,52,31,10,0,10,27,31,16,0,67,1,2,1,2,1,1,0.215,0.267,0.382,0.649,0.253,25.50%,6.20%
150,Josh Smith,TEX,122,434,496,104,72,21,2,10,57,45,46,1,94,10,3,3,9,3,6,0.241,0.325,0.364,0.689,0.283,18.90%,9.20%
151,Spencer Torkelson,DET,146,531,608,123,70,27,0,26,72,80,64,3,158,7,5,0,2,1,1,0.232,0.32,0.432,0.752,0.275,26.00%,10.50%
152,Royce Lewis,MIN,116,430,470,103,64,22,1,17,55,56,33,1,100,3,4,1,10,2,8,0.239,0.295,0.409,0.704,0.272,21.30%,7.00%
153,Logan O'Hoppe,LAA,116,409,449,92,56,16,1,19,49,55,31,0,131,5,3,1,3,1,2,0.225,0.286,0.406,0.692,0.279,29.10%,6.90%
154,Caleb Durbin,BOS,134,475,529,120,85,24,1,10,61,51,33,1,56,13,4,3,19,5,14,0.252,0.316,0.369,0.685,0.266,10.60%,6.30%
155,Tommy Edman,LAD,110,403,440,98,64,19,2,13,55,49,28,1,75,4,3,2,10,2,8,0.243,0.297,0.395,0.691,0.267,17.00%,6.30%
156,Jo Adell,LAA,138,508,558,117,65,21,2,30,71,76,39,1,154,8,3,0,10,3,7,0.231,0.294,0.454,0.749,0.268,27.50%,6.90%
