#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
122,Bo Naylor,CLE,117,403,461,87,49,20,1,17,56,55,50,1,109,2,3,2,3,2,1,0.216,0.303,0.397,0.701,0.25,23.70%,10.80%
123,Caleb Durbin,BOS,130,493,560,123,82,28,2,11,73,64,39,0,61,20,3,4,22,7,15,0.249,0.328,0.383,0.711,0.264,11.00%,7.00%
124,Matt Wallner,MIN,110,410,476,98,51,24,2,22,59,65,51,1,146,13,2,0,4,2,2,0.239,0.34,0.463,0.803,0.312,30.60%,10.70%
125,Mike Trout,LAA,130,468,560,110,65,18,1,25,75,72,81,8,171,7,4,0,2,0,2,0.235,0.353,0.441,0.794,0.307,30.60%,14.40%
126,Hunter Goodman,COL,144,538,583,141,77,33,3,28,74,90,36,0,150,7,3,0,1,1,0,0.263,0.315,0.493,0.808,0.311,25.70%,6.10%
127,George Springer,TOR,138,521,595,134,86,22,2,24,87,79,63,1,116,8,3,0,14,2,12,0.256,0.343,0.444,0.787,0.285,19.50%,10.60%
128,Royce Lewis,MIN,131,519,567,131,84,27,0,20,63,76,41,1,116,3,4,0,13,1,12,0.251,0.307,0.416,0.723,0.286,20.50%,7.20%
129,Randy Arozarena,SEA,157,588,679,137,83,30,1,23,86,78,65,1,178,22,4,0,26,7,19,0.233,0.33,0.406,0.735,0.291,26.20%,9.60%
130,Jackson Chourio,MIL,151,604,651,165,98,40,4,23,94,97,37,2,132,3,5,1,24,7,17,0.274,0.316,0.467,0.783,0.314,20.30%,5.70%
131,Lars Nootbaar,STL,125,465,539,114,72,24,2,16,68,54,66,2,108,3,4,1,5,3,2,0.245,0.34,0.409,0.749,0.284,20.00%,12.20%
132,Sal Frelick,MIL,118,462,511,125,93,21,4,8,64,54,38,1,69,6,3,2,15,4,11,0.271,0.333,0.383,0.716,0.302,13.50%,7.50%
133,Munetaka Murakami,CHW,136,493,588,115,69,18,0,28,76,81,86,6,200,6,4,0,9,5,4,0.234,0.352,0.442,0.794,0.325,34.00%,14.60%
134,Ryan Jeffers,MIN,130,458,523,112,72,24,1,15,57,57,50,1,105,11,2,1,2,1,1,0.245,0.333,0.4,0.733,0.287,20.10%,9.60%
135,Kevin McGonigle,DET,81,308,350,78,45,20,2,11,49,50,35,0,45,2,4,1,5,4,1,0.254,0.329,0.442,0.771,0.26,12.80%,10.00%
136,Parker Meadows,DET,122,467,525,109,69,19,6,14,67,63,49,1,128,3,4,2,14,3,11,0.234,0.308,0.394,0.703,0.289,24.30%,9.30%
137,Brandon Nimmo,TEX,146,554,630,135,90,26,2,17,77,68,61,1,137,10,4,1,9,1,8,0.244,0.328,0.393,0.72,0.293,21.80%,9.60%
138,Joey Ortiz,MIL,146,572,630,141,93,32,5,11,77,68,44,0,107,5,4,5,14,4,10,0.247,0.304,0.379,0.683,0.284,17.00%,7.00%
139,Jake Cronenworth,SDP,146,536,630,125,82,26,4,14,74,64,71,1,126,14,6,2,4,2,2,0.233,0.335,0.373,0.708,0.276,20.00%,11.30%
140,Ramon Laureano,SDP,130,503,560,122,73,24,3,22,75,73,43,1,152,11,3,0,9,4,5,0.242,0.314,0.428,0.743,0.302,27.10%,7.70%
141,Jose Altuve,HOU,144,560,623,148,101,26,1,20,82,71,53,3,109,7,3,0,12,4,8,0.265,0.335,0.421,0.756,0.296,17.50%,8.60%
142,Sean Murphy,ATL,86,304,348,68,38,14,0,16,39,45,33,1,94,9,2,0,0,0,0,0.224,0.316,0.43,0.746,0.266,27.00%,9.50%
143,Spencer Horwitz,PIT,115,435,497,119,77,31,1,10,61,54,53,1,89,6,3,0,2,1,1,0.274,0.359,0.421,0.78,0.321,17.90%,10.70%
144,Jakob Marsee,MIA,134,496,581,114,72,23,5,14,71,66,67,0,119,7,3,8,33,12,21,0.23,0.329,0.38,0.708,0.274,20.40%,11.50%
145,Carson Kelly,CHC,94,329,373,76,51,12,1,11,41,44,36,0,76,4,3,0,2,0,2,0.23,0.312,0.379,0.691,0.263,20.30%,9.70%
146,Kyle Teel,CHW,115,408,464,101,72,17,1,11,59,50,50,0,117,4,2,1,6,2,4,0.247,0.333,0.373,0.706,0.319,25.30%,10.70%
147,Isaac Paredes,HOU,110,407,476,97,60,18,1,19,53,64,55,0,80,11,3,0,0,1,-1,0.239,0.343,0.423,0.766,0.253,16.90%,11.50%
148,Gavin Lux,TBR,105,404,455,107,76,21,2,8,55,43,48,0,97,1,2,0,3,1,2,0.264,0.342,0.383,0.725,0.328,21.30%,10.50%
149,Nolan Arenado,ARI,138,543,595,136,92,27,1,16,62,78,41,4,80,5,6,0,4,1,3,0.251,0.306,0.391,0.698,0.265,13.50%,6.90%
150,Mike Yastrzemski,ATL,105,391,455,89,48,21,4,16,58,48,56,2,106,4,3,2,4,2,2,0.227,0.327,0.421,0.748,0.269,23.30%,12.20%
