#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
166,Colin Selby,BAL,2,1,4.01,41,0,0,4,,44.1,190,38,21,20,5,20,1,2,45,9.09,4.02,1.3,23.60%,10.40%
167,Andrew Hoffmann,ARI,1,1,4.37,33,0,0,1,,36.1,157,34,19,18,4,14,1,2,36,8.87,3.6,1.34,22.80%,9.20%
168,Cole Henry,WSN,2,2,4.18,65,0,11,8,,64,274,53,32,30,8,30,2,5,62,8.75,4.19,1.29,22.60%,10.90%
169,Brock Burke,CIN,2,2,4.43,60,0,1,13,,61,261,61,32,30,8,18,2,2,51,7.54,2.66,1.3,19.60%,6.90%
170,Jose Leclerc,,2,2,4.07,34,0,0,0,,35.1,151,29,17,16,4,16,1,2,38,9.59,4.17,1.27,25.00%,10.90%
171,Yennier Cano,BAL,3,2,4.21,57,0,1,12,,56.1,241,55,28,26,6,20,1,3,49,7.78,3.2,1.33,20.20%,8.30%
172,Caleb Ferguson,CIN,2,2,4.36,55,0,0,10,,54.2,236,53,28,26,6,22,1,3,47,7.78,3.59,1.37,20.00%,9.20%
173,Julian Fernandez,WSN,2,2,4.3,58,0,2,12,,61,262,53,31,29,8,27,2,3,59,8.64,3.95,1.31,22.40%,10.20%
174,Chase Lee,TOR,1,1,3.8,23,0,0,1,,24.2,103,22,11,10,3,7,1,1,25,9.16,2.66,1.19,24.30%,7.10%
175,Spencer Bivens,SFG,3,2,4.25,59,0,2,14,,69,296,67,35,33,8,24,2,4,51,6.67,3.17,1.33,17.30%,8.20%
176,Juan Morillo,ARI,1,1,4.06,34,0,0,1,,33.1,144,30,16,15,3,15,1,2,31,8.47,3.95,1.34,21.80%,10.20%
177,Luis Curvelo,TEX,1,1,3.87,29,0,0,1,,30.2,127,25,14,13,4,10,1,2,31,9.14,3,1.15,24.40%,8.00%
178,Ryan Brasier,TEX,2,1,4.2,37,0,0,1,,38.2,162,36,19,18,5,11,1,2,32,7.53,2.48,1.22,19.90%,6.50%
179,Luke Little,CHC,1,0,2.87,17,0,0,1,,18.1,77,13,6,6,1,10,1,1,20,10.03,4.82,1.24,26.50%,12.80%
180,Dylan Dodd,ATL,1,1,4.5,37,0,0,4,,41,176,42,22,21,5,12,1,1,37,8.01,2.53,1.31,20.80%,6.60%
181,Ethan Roberts,CHC,1,1,4.07,31,0,0,1,,32,136,28,16,15,4,12,1,2,32,8.98,3.4,1.26,23.50%,8.90%
