#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
75,Brooks Raley,NYM,3,3,3.80,62,0,1,14,,62.0,260,54,28,26,6,22,,5,61,8.79,3.20,1.23,23.3%,8.5%
76,Danny Coulombe,,2,2,3.66,46,0,0,0,,46.0,192,41,20,19,5,17,,1,45,8.88,3.31,1.26,23.6%,8.8%
77,Luke Weaver,NYM,4,3,4.00,67,0,4,14,,67.0,283,61,32,30,9,22,,2,73,9.75,2.98,1.24,25.6%,7.8%
78,Shawn Armstrong,CLE,3,3,3.81,68,0,3,16,,68.0,285,62,31,29,8,21,,4,68,8.99,2.76,1.21,23.9%,7.3%
79,Taylor Rogers,MIN,4,3,4.13,61,0,20,5,,61.0,266,56,30,28,8,27,,4,65,9.52,4.02,1.36,24.3%,10.3%
80,Clayton Beeter,WSN,3,3,3.98,63,0,17,9,,63.0,271,53,30,28,7,33,,3,72,10.25,4.66,1.36,26.4%,12.0%
81,Victor Vodnik,COL,3,4,4.25,64,0,22,4,,64.0,281,62,33,30,7,31,,2,62,8.68,4.34,1.46,22.0%,11.0%
82,Yennier Cano,BAL,4,3,3.66,60,0,1,12,,60.0,254,57,27,24,6,21,,2,55,8.22,3.16,1.30,21.5%,8.3%
83,Tyler Kinley,ATL,4,3,4.02,63,0,0,13,,63.0,268,55,30,28,8,27,,2,70,10.01,3.83,1.29,26.2%,10.0%
84,Gabe Speier,SEA,4,2,3.34,58,0,0,12,,58.0,239,48,24,21,7,18,,3,67,10.35,2.77,1.14,27.9%,7.5%
85,Justin Sterner,ATH,3,3,4.15,65,0,8,10,,65.0,276,59,32,30,9,24,,4,65,9.03,3.32,1.28,23.6%,8.7%
86,Eduard Bazardo,SEA,3,3,3.63,68,0,1,14,,68.0,283,59,30,27,8,23,,3,69,9.19,3.03,1.21,24.5%,8.1%
87,Connor Prielipp,MIN,4,4,4.06,45,5,0,1,,64.0,276,62,31,29,7,23,,4,59,8.35,3.31,1.34,21.3%,8.5%
88,Riley O'Brien,STL,3,3,3.71,63,0,16,9,,63.0,272,55,28,26,6,28,,6,65,9.33,4.02,1.32,24.0%,10.3%
89,Jakob Junis,TEX,3,3,4.08,65,0,1,14,,65.0,273,63,32,29,8,17,,3,57,7.84,2.35,1.23,20.8%,6.2%
90,Justin Slaten,BOS,4,4,3.99,61,0,0,13,,61.0,258,57,30,27,7,22,,2,58,8.56,3.18,1.29,22.5%,8.4%
91,Tyler Holton,DET,4,4,3.65,72,0,1,14,,72.0,294,66,32,29,9,19,,2,60,7.56,2.34,1.18,20.6%,6.4%
92,Kody Funderburk,MIN,4,4,3.86,65,0,3,15,,65.0,282,61,30,28,6,27,,5,62,8.57,3.72,1.35,22.0%,9.6%
93,Hunter Gaddis,CLE,3,3,3.87,66,0,3,14,,66.0,278,60,31,28,9,21,,4,64,8.78,2.88,1.23,23.2%,7.6%
94,Aaron Bummer,ATL,4,3,3.57,60,0,0,12,,60.0,260,56,26,24,5,23,,5,62,9.30,3.48,1.32,23.8%,8.9%
95,John Schreiber,KCR,3,3,4.05,64,0,1,14,,64.0,272,60,31,29,7,23,,3,59,8.34,3.28,1.30,21.8%,8.6%
96,Tanner Banks,PHI,3,3,3.85,62,0,0,12,,62.0,259,58,29,27,8,18,,2,58,8.48,2.55,1.23,22.5%,6.8%
97,Aaron Ashby,MIL,4,3,3.72,64,0,1,13,,64.0,280,56,29,26,6,31,,4,67,9.42,4.41,1.37,23.9%,11.2%
98,Kyle Finnegan,DET,4,4,3.92,64,0,4,13,,64.0,270,60,30,28,8,23,,1,60,8.38,3.22,1.30,22.0%,8.5%
99,Kenley Jansen,DET,4,3,4.11,60,0,23,4,,60.0,250,53,29,27,9,22,,2,60,9.04,3.24,1.24,24.1%,8.6%
100,Mason Englert,TBR,3,2,3.99,60,0,1,12,,60.0,253,57,29,27,8,18,,2,56,8.40,2.63,1.24,22.1%,6.9%
101,Keegan Akin,BAL,4,3,3.93,66,0,3,15,,66.0,278,61,31,29,9,23,,2,67,9.18,3.15,1.27,24.2%,8.3%
102,Dietrich Enns,BAL,3,3,3.96,62,0,0,13,,62.0,268,64,29,27,8,19,,2,56,8.15,2.69,1.33,21.0%,6.9%
103,Tyler Rogers,TOR,5,3,3.86,74,0,2,18,,74.0,311,76,34,32,8,18,,3,51,6.14,2.14,1.26,16.2%,5.6%
104,Jovani Moran,BOS,3,2,3.74,56,0,0,10,,56.0,241,50,25,23,5,24,,2,61,9.75,3.93,1.33,25.2%,10.2%
105,Andrew Nardi,MIA,3,3,3.71,56,0,0,10,,56.0,238,47,25,23,7,24,,2,67,10.70,3.80,1.26,28.0%,9.9%
106,Erik Miller,SFG,4,3,3.60,62,0,4,15,,62.0,269,52,27,25,5,33,,2,68,9.80,4.81,1.38,25.1%,12.3%
107,Phil Maton,CHC,4,3,3.76,65,0,4,14,,65.0,274,54,29,27,7,25,,6,67,9.31,3.53,1.23,24.5%,9.3%
108,Jordan Wicks,CHC,3,2,3.86,31,3,0,1,,44.0,186,42,20,19,5,13,,1,40,8.12,2.75,1.27,21.3%,7.2%
109,Mason Montgomery,PIT,3,3,3.87,60,0,2,12,,60.0,258,54,28,26,7,24,,3,63,9.39,3.65,1.31,24.3%,9.4%
110,Ben Brown,CHC,3,3,3.75,42,2,0,1,,49.0,206,43,22,21,6,16,,2,55,9.97,2.94,1.20,26.5%,7.8%
111,Calvin Faucher,MIA,3,4,4.00,64,0,5,11,,64.0,280,60,31,28,7,28,,3,64,8.96,3.95,1.38,22.8%,10.0%
112,Greg Weissert,BOS,4,4,4.21,65,0,1,17,,65.0,279,63,33,30,8,23,,3,59,8.11,3.21,1.33,21.0%,8.3%
113,Angel Zerpa,MIL,3,3,3.61,60,0,0,12,,60.0,253,55,26,24,7,20,,3,57,8.52,2.98,1.25,22.4%,7.8%
114,Justin Wrobleski,LAD,3,3,4.23,40,3,0,1,,56.0,239,54,28,26,8,19,,2,52,8.30,2.98,1.29,21.7%,7.8%
115,Tommy Nance,TOR,3,3,3.78,58,0,0,12,,58.0,247,56,27,24,7,18,,3,55,8.51,2.79,1.27,22.2%,7.3%
116,Julian Fernandez,WSN,3,3,3.95,59,0,2,12,,59.0,250,54,28,26,7,21,,2,59,8.99,3.20,1.28,23.6%,8.4%
117,Brock Burke,CIN,4,3,4.17,62,0,1,13,,62.0,264,60,31,29,8,21,,2,58,8.38,2.98,1.29,21.9%,7.8%
118,Drew Anderson,DET,3,3,3.89,54,2,0,6,,61.0,258,54,29,26,8,22,,3,68,10.08,3.26,1.25,26.5%,8.6%
119,Paul Blackburn,NYY,3,4,4.42,59,2,0,12,,66.0,282,66,35,32,9,20,,2,55,7.50,2.76,1.32,19.4%,7.1%
120,Juan Mejia,COL,3,4,4.57,66,0,3,14,,66.0,292,63,36,33,8,31,,6,68,9.24,4.17,1.41,23.2%,10.5%
