#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
69,Porter Hodge,CHC,2,1,3.51,42,0,1,5,,44.1,187,34,18,17,4,22,1,2,50,10.26,4.39,1.25,26.9%,11.5%
70,Jason Adam,SDP,2,1,3.54,49,0,1,15,,50.1,207,39,21,20,6,18,1,3,52,9.37,3.15,1.12,25.3%,8.5%
71,Chris Martin,TEX,2,2,3.80,50,0,6,12,,51.0,209,48,23,22,6,9,1,2,46,8.06,1.65,1.12,21.9%,4.5%
72,Braydon Fisher,TOR,2,1,3.52,49,0,1,7,,50.0,210,38,21,20,5,24,2,2,58,10.45,4.24,1.23,27.6%,11.2%
73,Brusdar Graterol,LAD,2,1,3.31,40,0,0,5,,40.1,166,37,16,15,2,10,1,2,29,6.51,2.16,1.17,17.5%,5.8%
74,Jordan Leasure,CHW,3,2,3.82,63,0,7,11,,63.2,267,50,29,27,8,29,2,1,70,9.95,4.06,1.23,26.3%,10.7%
75,Ryan Yarbrough,NYY,2,2,4.16,41,3,0,7,,62.0,261,57,31,29,8,18,1,5,53,7.69,2.57,1.20,20.3%,6.8%
76,Bryan Baker,TBR,3,2,4.08,61,0,1,12,,63.1,268,55,31,29,9,24,1,2,70,9.90,3.40,1.24,26.1%,9.0%
77,A.J. Puk,ARI,1,1,3.66,30,0,5,1,,31.1,131,27,14,13,4,9,1,2,39,11.29,2.55,1.14,30.1%,6.8%
78,Seranthony Dominguez,CHW,2,2,3.93,62,0,21,6,,61.2,262,49,29,27,7,28,1,3,68,9.87,4.15,1.26,25.8%,10.9%
79,Gregory Soto,PIT,3,2,4.05,62,0,4,14,,60.1,262,55,29,27,5,25,1,6,61,9.08,3.71,1.33,23.2%,9.5%
80,Jared Koenig,MIL,3,2,3.96,62,0,2,15,,64.1,274,60,30,28,7,22,2,4,62,8.65,3.07,1.27,22.6%,8.0%
81,Gordon Graceffo,STL,2,2,4.18,51,0,0,12,,61.0,261,59,30,28,7,21,2,2,53,7.80,3.05,1.31,20.3%,7.9%
82,David Morgan,SDP,3,2,3.85,56,0,0,12,,60.2,257,50,28,26,7,25,2,3,66,9.81,3.77,1.25,25.7%,9.9%
83,Clayton Beeter,WSN,2,2,3.92,59,0,13,9,,62.2,270,50,29,27,7,35,2,2,73,10.48,5.01,1.36,27.0%,12.9%
84,Bryan King,HOU,3,2,4.02,64,0,0,17,,64.0,271,58,31,29,8,21,1,4,63,8.89,2.88,1.22,23.4%,7.6%
85,Brent Headrick,NYY,2,1,3.71,42,0,0,5,,47.0,195,39,21,19,6,15,1,2,53,10.20,2.95,1.15,27.3%,7.9%
86,Jake Bird,NYY,3,1,3.76,50,0,0,10,,53.1,225,45,24,22,5,20,1,4,55,9.36,3.40,1.23,24.6%,8.9%
87,Jeff Hoffman,TOR,3,2,3.90,61,0,26,4,,62.0,259,50,29,27,9,23,1,3,71,10.33,3.37,1.18,27.5%,9.0%
88,Ryan Fernandez,STL,2,1,3.84,44,0,0,1,,46.1,195,41,21,20,5,17,1,1,47,9.19,3.32,1.25,24.3%,8.8%
