#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
47,Brendan Donovan,SEA,120,482,545,132,92,27,1,12,69,53,49,2,78,8,3,2,6,2,4,0.273,0.348,0.407,0.754,0.302,14.20%,9.00%
48,Nick Kurtz,ATH,109,424,493,109,56,20,1,31,78,71,60,3,141,3,3,2,4,1,3,0.258,0.353,0.533,0.886,0.306,28.50%,12.20%
49,Austin Wells,NYY,100,345,386,79,45,17,1,16,47,48,33,0,94,4,3,2,5,1,4,0.229,0.301,0.421,0.723,0.264,24.40%,8.50%
50,Jazz Chisholm Jr.,NYY,131,486,548,117,71,18,1,26,70,72,52,2,142,5,4,1,27,8,19,0.24,0.318,0.445,0.763,0.282,25.90%,9.50%
51,Michael Harris II,ATL,121,454,485,125,80,22,4,19,61,66,21,1,92,4,4,2,15,4,11,0.275,0.311,0.465,0.775,0.306,19.00%,4.40%
52,Marcus Semien,NYM,155,596,668,144,95,25,2,22,79,77,60,1,112,5,5,2,9,3,6,0.241,0.314,0.399,0.713,0.261,16.80%,9.00%
53,Jackson Chourio,MIL,131,546,594,147,89,31,3,24,83,73,38,2,118,4,4,3,22,6,16,0.269,0.319,0.47,0.789,0.302,19.90%,6.30%
54,Will Smith,LAD,112,407,472,103,65,20,1,18,61,62,54,3,92,7,4,1,3,1,2,0.254,0.349,0.441,0.789,0.284,19.50%,11.40%
55,Austin Riley,ATL,140,543,601,141,86,27,2,26,77,84,47,1,157,6,5,1,3,1,2,0.26,0.323,0.462,0.785,0.315,26.10%,7.80%
56,CJ Abrams,WSN,130,536,591,136,85,29,4,19,78,64,38,2,111,11,4,3,28,7,21,0.255,0.315,0.43,0.745,0.286,18.70%,6.40%
57,Brice Turang,MIL,139,546,613,142,99,26,2,14,76,61,57,1,126,3,4,2,26,6,20,0.26,0.331,0.394,0.726,0.312,20.60%,9.30%
58,Byron Buxton,MIN,107,439,489,108,58,21,4,25,71,63,38,3,133,7,3,2,14,3,11,0.247,0.315,0.487,0.802,0.294,27.30%,7.70%
59,Gleyber Torres,DET,142,555,637,144,99,27,1,18,80,66,71,1,109,4,4,2,5,2,3,0.259,0.346,0.406,0.752,0.292,17.10%,11.20%
60,Riley Greene,DET,134,521,582,136,81,27,2,25,73,82,52,2,158,5,4,1,3,1,2,0.26,0.331,0.467,0.798,0.323,27.10%,9.00%
61,Rafael Devers,SFG,139,535,625,133,76,27,1,29,86,80,77,9,156,6,4,2,2,1,1,0.248,0.346,0.463,0.809,0.293,24.90%,12.30%
62,Cody Bellinger,NYY,130,518,574,136,86,23,3,24,73,80,47,3,87,4,4,1,9,3,6,0.264,0.328,0.457,0.785,0.274,15.10%,8.30%
63,Kyle Schwarber,PHI,138,520,626,120,61,19,1,39,97,90,93,4,175,7,4,2,6,2,4,0.23,0.353,0.499,0.851,0.259,27.90%,14.90%
64,Xavier Edwards,MIA,123,499,558,142,111,22,4,5,68,46,49,2,77,3,4,2,26,7,19,0.286,0.352,0.375,0.727,0.328,13.90%,8.90%
65,Steven Kwan,CLE,128,527,594,146,107,26,2,11,77,51,56,1,57,4,4,3,17,4,13,0.277,0.35,0.396,0.746,0.293,9.60%,9.50%
66,Pete Alonso,BAL,146,564,642,143,80,28,1,35,88,100,61,4,148,12,5,1,3,1,2,0.254,0.337,0.494,0.831,0.28,23.00%,9.50%
67,Ezequiel Tovar,COL,137,581,625,153,95,33,4,21,80,69,32,1,147,4,4,3,11,3,8,0.263,0.304,0.441,0.745,0.316,23.50%,5.20%
68,Dansby Swanson,CHC,130,472,524,114,75,20,2,17,58,61,44,1,131,3,4,2,12,3,9,0.241,0.307,0.398,0.706,0.295,25.00%,8.40%
69,Brandon Nimmo,TEX,142,565,642,145,94,27,1,23,85,72,62,1,142,8,4,3,10,3,7,0.256,0.337,0.429,0.766,0.302,22.10%,9.70%
70,Jose Altuve,HOU,130,525,584,140,94,25,1,20,74,72,49,3,100,5,4,1,12,3,9,0.267,0.332,0.434,0.767,0.293,17.10%,8.30%
71,Luke Keaschall,MIN,107,419,480,112,77,24,1,10,62,48,48,0,81,8,3,2,20,6,14,0.267,0.35,0.4,0.75,0.307,16.80%,9.90%
72,Chase Meidroth,CHW,107,417,486,109,81,19,1,8,61,39,57,0,72,7,3,2,12,3,9,0.261,0.356,0.37,0.726,0.295,14.70%,11.60%
73,Francisco Alvarez,NYM,99,349,395,84,49,14,1,20,49,55,37,0,97,5,3,1,1,0,1,0.241,0.32,0.457,0.777,0.274,24.50%,9.40%
74,Yainer Diaz,HOU,118,452,481,123,81,23,1,19,56,66,21,1,82,3,3,1,2,1,1,0.273,0.308,0.454,0.762,0.295,17.10%,4.40%
75,Roman Anthony,BOS,111,434,511,114,71,26,2,15,72,51,67,1,128,4,3,3,8,2,6,0.264,0.365,0.438,0.803,0.338,25.10%,13.10%
76,Oneil Cruz,PIT,115,424,484,101,58,20,2,20,61,60,52,3,146,4,3,1,25,6,19,0.237,0.323,0.438,0.761,0.308,30.20%,10.70%
77,Yandy Diaz,TBR,135,540,612,155,105,28,1,20,83,71,59,2,96,6,4,2,3,1,2,0.287,0.361,0.457,0.819,0.314,15.60%,9.70%
78,Ceddanne Rafaela,BOS,128,468,503,120,76,26,3,15,57,61,24,1,104,6,4,2,17,6,11,0.257,0.299,0.425,0.724,0.298,20.70%,4.70%
79,Shea Langeliers,ATH,111,447,492,112,62,22,1,27,68,71,37,1,112,4,3,1,5,2,3,0.25,0.311,0.483,0.794,0.273,22.70%,7.50%
80,James Wood,WSN,112,442,513,115,66,25,1,23,74,61,62,4,146,3,3,2,14,5,9,0.26,0.353,0.475,0.828,0.332,28.40%,12.10%
81,Josh Naylor,SEA,133,514,570,137,87,26,1,22,71,80,47,5,89,5,4,1,15,4,11,0.266,0.33,0.45,0.78,0.281,15.60%,8.30%
82,Andy Pages,LAD,123,445,486,114,69,23,1,21,61,67,29,0,103,6,4,2,9,3,6,0.255,0.307,0.45,0.757,0.286,21.30%,6.00%
83,Isaac Paredes,HOU,107,403,471,100,60,19,1,21,64,62,54,0,79,10,3,1,1,1,0,0.247,0.348,0.452,0.8,0.258,16.80%,11.50%
84,George Springer,TOR,134,534,609,138,87,24,1,26,86,72,61,2,118,7,4,3,13,3,10,0.259,0.34,0.454,0.794,0.285,19.30%,10.10%
85,Drake Baldwin,ATL,109,425,479,114,75,19,2,18,64,60,45,0,82,4,3,2,1,0,1,0.268,0.34,0.447,0.788,0.292,17.20%,9.30%
86,Bryson Stott,PHI,131,471,528,121,84,22,3,13,60,56,47,1,86,4,4,2,21,5,16,0.257,0.327,0.394,0.721,0.288,16.30%,8.90%
87,Ivan Herrera,STL,111,429,495,117,79,21,1,16,66,57,52,0,96,9,3,2,8,2,6,0.273,0.361,0.441,0.802,0.315,19.50%,10.60%
88,Jordan Westburg,BAL,98,387,425,102,62,21,2,17,55,56,28,0,92,6,3,1,4,1,3,0.264,0.319,0.463,0.783,0.302,21.70%,6.50%
89,Luis Arraez,SFG,129,550,592,168,130,29,3,6,72,52,30,2,26,5,4,3,9,3,6,0.305,0.345,0.403,0.747,0.31,4.50%,5.10%
90,Seiya Suzuki,CHC,132,506,574,128,77,25,3,24,73,79,60,2,146,3,4,1,7,3,4,0.254,0.335,0.454,0.789,0.308,25.40%,10.50%
91,Taylor Ward,BAL,134,531,605,129,78,25,2,25,81,72,63,1,145,6,4,2,5,2,3,0.244,0.328,0.437,0.765,0.287,24.00%,10.30%
92,Kazuma Okamoto,TOR,130,460,516,114,69,23,1,22,61,68,45,4,88,6,4,2,3,1,2,0.248,0.321,0.444,0.765,0.261,17.00%,8.80%
93,Trent Grisham,NYY,107,412,484,90,52,16,1,20,65,53,62,0,121,5,3,2,5,1,4,0.219,0.326,0.412,0.738,0.255,25.00%,12.80%
94,Ben Rice,NYY,108,407,465,100,56,19,2,23,62,68,48,0,99,6,3,1,4,1,3,0.246,0.332,0.474,0.805,0.267,21.40%,10.30%
95,Royce Lewis,MIN,116,426,469,107,65,21,1,20,55,63,36,0,101,2,3,1,9,3,6,0.251,0.311,0.446,0.757,0.281,21.50%,7.70%
96,Ian Happ,CHC,142,541,630,130,78,29,1,22,79,74,78,1,150,4,4,1,8,2,6,0.241,0.339,0.419,0.758,0.29,23.80%,12.40%
97,Otto Lopez,MIA,117,442,485,120,85,24,1,10,51,51,35,1,73,3,3,1,14,4,10,0.27,0.327,0.396,0.723,0.302,15.10%,7.20%
98,Dillon Dingler,DET,84,298,329,73,47,15,1,10,35,37,22,1,80,5,3,1,1,0,1,0.245,0.305,0.404,0.708,0.299,24.30%,6.80%
99,Jakob Marsee,MIA,118,465,541,108,71,21,4,12,70,46,63,0,122,7,3,3,33,9,24,0.232,0.331,0.372,0.703,0.286,22.50%,11.70%
100,Brent Rooker,ATH,139,538,608,139,79,27,2,30,82,90,59,3,156,6,4,1,5,2,3,0.257,0.335,0.485,0.82,0.303,25.60%,9.60%
101,Colson Montgomery,CHW,116,452,508,100,58,17,2,23,58,66,44,1,149,8,4,0,3,1,2,0.22,0.298,0.417,0.715,0.27,29.20%,8.70%
102,JJ Wetherholt,STL,105,377,431,96,66,19,1,10,46,44,45,1,76,6,3,1,9,3,6,0.255,0.341,0.392,0.733,0.293,17.70%,10.40%
