#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
43,Sandy Alcantara,MIA,10,12,4.16,31,31,0,0,,186.2,795,190,94,86,22,56,1,8,158,7.64,2.70,1.32,19.9%,7.0%,16
44,Chase Burns,CIN,8,7,3.70,31,21,0,1,,125.0,519,109,55,51,17,39,1,4,143,10.26,2.83,1.19,27.5%,7.6%,10
45,Nick Lodolo,CIN,9,10,4.03,28,28,0,0,,154.1,652,146,74,69,22,43,1,13,158,9.19,2.50,1.22,24.2%,6.6%,13
46,Emmet Sheehan,LAD,10,8,3.94,42,24,0,1,,151.2,637,133,71,66,23,53,1,6,171,10.13,3.15,1.22,26.8%,8.3%,11
47,Luis Castillo,SEA,11,10,3.86,31,31,0,0,,181.1,763,171,84,78,25,51,1,7,172,8.51,2.54,1.22,22.5%,6.7%,16
48,Joe Musgrove,SDP,10,9,3.91,28,28,0,0,,159.0,668,153,75,69,22,41,1,10,150,8.52,2.31,1.22,22.5%,6.1%,14
49,Tanner Bibee,CLE,10,11,4.10,31,31,0,0,,182.0,774,175,89,83,26,56,1,8,172,8.50,2.75,1.27,22.2%,7.2%,16
50,Carlos Rodon,NYY,10,9,3.96,28,28,0,0,,161.2,686,143,76,71,23,59,0,7,175,9.75,3.26,1.25,25.5%,8.5%,14
51,Grayson Rodriguez,LAA,8,8,3.81,23,23,0,0,,129.0,541,117,59,55,17,44,0,5,136,9.48,3.05,1.25,25.1%,8.1%,11
52,Brady Singer,CIN,10,11,4.37,31,31,0,0,,175.2,757,176,92,85,27,56,0,10,164,8.41,2.87,1.32,21.7%,7.4%,14
53,Mitch Keller,PIT,10,12,4.35,31,31,0,0,,179.2,771,182,94,87,23,55,1,10,155,7.78,2.75,1.32,20.2%,7.1%,15
54,Trey Yesavage,TOR,10,8,3.74,36,24,0,1,,153.1,647,132,69,64,18,62,1,6,170,9.98,3.65,1.27,26.3%,9.6%,13
55,Cody Ponce,TOR,9,8,3.87,49,21,0,1,,148.0,623,142,69,64,18,42,1,6,145,8.83,2.54,1.24,23.3%,6.7%,10
56,Matthew Boyd,CHC,11,10,3.94,29,29,0,0,,173.2,731,164,82,76,24,52,0,7,156,8.09,2.71,1.25,21.4%,7.1%,16
57,Kris Bubic,KCR,9,9,3.91,34,24,0,1,,149.1,632,143,70,65,18,52,1,5,141,8.52,3.13,1.30,22.4%,8.2%,12
58,Merrill Kelly,ARI,10,9,4.12,28,28,0,0,,160.2,685,161,79,74,20,49,1,4,147,8.24,2.76,1.31,21.4%,7.2%,14
59,David Peterson,NYM,11,9,3.65,29,29,0,0,,169.2,728,163,76,69,17,65,1,8,150,7.97,3.47,1.35,20.6%,9.0%,16
60,Zac Gallen,ARI,11,11,4.24,31,31,0,0,,184.0,792,186,93,87,23,59,1,6,174,8.51,2.90,1.33,22.0%,7.5%,16
61,Casey Mize,DET,9,10,4.07,28,28,0,0,,150.2,638,149,73,68,20,42,0,5,133,7.97,2.49,1.27,20.9%,6.5%,12
62,Braxton Garrett,MIA,8,8,3.85,31,23,0,1,,135.0,569,135,63,58,16,34,1,7,118,7.88,2.26,1.25,20.8%,6.0%,11
63,Cade Cavalli,WSN,9,10,3.98,26,26,0,0,,151.2,648,150,73,67,17,52,1,8,127,7.56,3.07,1.33,19.7%,8.0%,13
64,Shane Bieber,TOR,8,7,3.76,29,21,0,1,,129.0,540,127,59,54,16,30,0,4,120,8.33,2.10,1.22,22.1%,5.6%,11
65,Nolan McLean,NYM,10,8,3.71,26,26,0,0,,149.0,637,137,67,61,15,58,1,8,141,8.54,3.49,1.31,22.2%,9.1%,14
66,Steven Matz,TBR,8,9,4.05,37,23,0,1,,139.2,589,138,68,63,18,40,1,5,118,7.63,2.56,1.27,20.1%,6.7%,10
67,Andrew Abbott,CIN,9,11,4.53,29,29,0,0,,167.2,718,166,90,84,30,54,1,5,155,8.31,2.90,1.31,21.6%,7.5%,13
68,Bailey Ober,MIN,9,10,4.40,28,28,0,0,,159.2,677,160,83,78,27,39,0,6,145,8.15,2.17,1.25,21.3%,5.7%,13
69,Gerrit Cole,NYY,8,8,3.94,23,23,0,0,,134.1,564,123,63,59,20,39,0,5,137,9.20,2.63,1.21,24.3%,7.0%,12
70,Gavin Williams,CLE,10,11,4.08,31,31,0,0,,177.1,761,163,87,80,23,76,1,6,181,9.19,3.88,1.35,23.8%,10.1%,15
71,Chris Bassitt,BAL,11,11,4.29,39,29,0,1,,181.1,780,181,93,86,25,61,1,11,164,8.16,3.04,1.33,21.1%,7.8%,14
72,Reid Detmers,LAA,8,9,4.04,34,24,0,1,,148.2,631,135,72,67,20,57,1,7,157,9.50,3.45,1.29,24.9%,9.0%,12
73,Michael Wacha,KCR,10,11,4.50,29,29,0,0,,170.0,727,176,91,85,26,50,0,6,135,7.16,2.65,1.33,18.6%,6.9%,13
74,Shota Imanaga,CHC,9,9,4.11,26,26,0,0,,152.1,635,150,74,70,26,33,0,4,138,8.17,1.96,1.20,21.8%,5.2%,13
75,Edward Cabrera,CHC,9,9,3.96,26,26,0,0,,139.2,592,125,67,62,16,57,0,7,149,9.57,3.64,1.30,25.1%,9.5%,11
76,Trevor Rogers,BAL,9,9,4.20,26,26,0,0,,149.1,640,151,75,70,19,51,1,5,127,7.66,3.05,1.35,19.9%,7.9%,12
77,Luis Severino,ATH,10,11,4.51,31,31,0,0,,182.1,786,188,98,91,27,59,1,10,149,7.36,2.90,1.35,19.0%,7.5%,14
78,Clay Holmes,NYM,10,9,3.88,28,28,0,0,,154.0,666,151,73,66,14,62,0,9,129,7.52,3.61,1.38,19.3%,9.3%,13
79,Max Meyer,MIA,8,9,4.05,34,24,0,1,,149.0,632,146,73,67,19,48,1,6,137,8.29,2.92,1.30,21.7%,7.7%,12
80,Reynaldo Lopez,ATL,9,9,4.06,36,24,0,1,,152.0,644,143,74,69,19,53,1,5,155,9.15,3.12,1.29,24.0%,8.2%,12
81,Quinn Priester,MIL,10,11,4.15,29,29,0,0,,172.1,741,176,87,80,21,59,1,7,140,7.31,3.10,1.37,18.9%,8.0%,15
82,Jeffrey Springs,ATH,10,11,4.62,31,31,0,0,,175.1,756,179,96,90,29,56,0,5,150,7.72,2.88,1.34,19.9%,7.4%,13
83,Brandon Pfaadt,ARI,10,10,4.31,29,29,0,0,,166.2,706,173,86,80,23,40,1,7,145,7.82,2.14,1.28,20.5%,5.6%,13
84,Shane Baz,BAL,10,10,4.29,28,28,0,0,,159.0,680,153,82,76,23,58,0,7,156,8.84,3.29,1.33,22.9%,8.5%,13
85,Brayan Bello,BOS,9,10,4.41,28,28,0,0,,156.0,679,164,83,76,18,55,0,8,130,7.49,3.17,1.40,19.1%,8.1%,12
86,Bubba Chandler,PIT,9,10,4.31,36,26,0,1,,160.1,695,156,83,77,21,63,1,8,146,8.21,3.53,1.36,21.0%,9.0%,12
87,Shane Smith,CHW,9,11,4.38,29,29,0,0,,168.1,724,162,88,82,24,65,1,10,154,8.23,3.47,1.35,21.3%,9.0%,13
88,Zebby Matthews,MIN,8,8,4.07,33,21,0,1,,125.2,526,123,61,57,18,32,1,4,117,8.36,2.27,1.24,22.2%,6.0%,9
89,Foster Griffin,WSN,7,8,3.91,34,19,0,1,,125.2,532,125,59,55,15,36,1,6,109,7.77,2.59,1.28,20.4%,6.8%,10
90,Tatsuya Imai,HOU,9,9,4.37,26,26,0,0,,153.0,663,150,80,74,20,62,1,7,145,8.54,3.66,1.39,21.9%,9.4%,12
91,Seth Lugo,KCR,9,10,4.49,28,28,0,0,,161.1,699,167,86,80,23,53,1,7,138,7.72,2.95,1.36,19.8%,7.6%,13
92,Jared Jones,PIT,7,6,3.83,24,18,0,1,,107.0,450,97,49,46,13,36,1,5,113,9.51,3.03,1.24,25.1%,8.0%,9
93,Taj Bradley,MIN,8,9,4.24,33,23,0,1,,134.2,574,129,68,63,19,48,0,4,131,8.78,3.20,1.32,22.9%,8.3%,10
94,Braxton Ashcraft,PIT,8,9,4.08,45,23,0,1,,145.1,621,146,72,66,17,48,1,6,124,7.64,2.95,1.33,19.9%,7.7%,10
95,Justin Verlander,DET,8,10,4.38,26,26,0,0,,143.1,615,142,74,70,21,44,0,6,120,7.53,2.77,1.30,19.5%,7.2%,11
96,Robbie Ray,SFG,10,11,4.19,31,31,0,0,,179.2,774,167,90,84,26,69,0,7,188,9.39,3.45,1.31,24.2%,8.9%,15
97,Mike Burrows,HOU,8,9,4.23,34,24,0,1,,139.2,597,134,71,66,20,48,1,6,136,8.74,3.10,1.30,22.7%,8.1%,10
98,Roki Sasaki,LAD,8,7,4.20,41,19,0,1,,128.1,551,124,65,60,17,47,1,7,122,8.56,3.32,1.34,22.2%,8.6%,8
99,Zack Littell,,9,11,4.55,28,28,0,0,,163.2,695,175,88,83,27,35,1,7,124,6.83,1.91,1.28,17.9%,5.0%,13
100,Sean Manaea,NYM,9,8,3.88,43,21,0,1,,136.0,572,122,63,59,19,45,1,7,140,9.25,2.96,1.23,24.4%,7.8%,9
101,Jameson Taillon,CHC,9,10,4.53,28,28,0,0,,161.1,686,170,87,81,26,39,0,5,126,7.01,2.18,1.29,18.3%,5.7%,13
